Pseudo,Title,Review,Rating,Verified Purchase,Date,Score,Compound,Sentiment
R.A.O,small powerful device,review based computer daily driver week meant gaming media consumption machine used machine docked external keyboard monitor day desk use standard unplugged laptop nightthe tldr high quality device flaws flaws mention admittedly nitpicky sideat end day sure many laptops match razer blade 14s performance specs lower price cost build quality important choose use portable device highly recommend wanted high powered portable machine consider razer blade 14pros handles next gen gaming qhd flawlesslyi able play competitive games high max setting framerates around 70 90 fps halo infinites multiplayer beta ran performance extended gameplay sessions 4 6 hours popular games arent demanding ff14 risk rain 2 would stay 100 fps around 120 160 fps range basically anything come last 10 years expect high frame rates maximum settings great temperaturesgaming laptops run hot pushed expected machine able maintain good temps gaming long periods unplugged able use machine basic streaming browsing without creating heat apple level build qualitythis essentially black macbook crazy specs inside everything feels really solid sturdy device nice heft trackpad reminiscent macbooks track pad good thing clicks good feedback responsive nice matte texture great displaynothing much say colors screen good didnt much issue play games using built screen though much experience external monitor screen perfect media consumption great battery lifethe battery lasts around 57 hours streaming media browsing screen brightness rgb keyboard dimmer level like keep looks cool like laptops dont expect battery life long running games resource heavy programs like video editor compiling running codecons shallow keyboardits decent laptop keyboard lacks travel laptop keyboards past doesnt come tactile big problem used attached external mechanical keyboard monitor razor softwarein past would call bloat razor seemed improved software straightforward listed con software insistent create razor account use lot important features fan speeds performance tuning locked behind software,4.4 out of 5 stars,Yes,"Reviewed in the United States on November 27, 2021","{'neg': 0.015, 'neu': 0.82, 'pos': 0.165, 'compound': 0.9984}",0.9984,positive
Bee Lor,excellent portable gaming laptop,im writing review anyone whos fence purchasing laptop since one really confused personal favourite alienware razer blade 14 ryzen love razer peripherals use blackwidow v2 tkl deathadder v2 pro setup decision based several factors like trading thunderbolt usb c missing ethernet port external gpu future upgrades ill answer questions hopefully itll help someone first usb c huge tradeoff 31 gen 2 supports 10gbps plenty kind connection high pollrate gaming keyboards mice 4k gaming monitor docking station read many articles gaming using docking station frankly egpu enclosure doubled dock none support gaming still connect gaming kb mouse usb c dock takes care major problem used usb c dp connect samsung c27hg7x 144hz monitor im able get full refresh rate without problems hdmi 21 port would also obviously work 2 monitors hooked laptopthe 2nd one fhd acer r240hy dock connected using usb c port connect keyboard charging wired connectivity razer goliathus extended gaming pad chroma fifine microphone also used one usb ports supports 10gbps bandwidth connect kb da mouse wirelessly 24ghz dont intend carry around essentially use desktop replacement given configuration pretty clean setupjust add rtx 3070 place wont need egpu enclosure anytime sooni specifically provided device names look specifications ensure indeed supported look similar setupabout laptop components screen brilliant high refresh rate awesome keyboard also pretty good although use mech kb time mention glass touchpad use mbp 13 work coming mouse pad never came across windows laptop matched touchpad quality razer blade pretty much nailed time absolutely brilliant feel premium multifinger gesture use 2 finger scrolling lot flawless components tons reviews wanted mention one thing personal experience absolutely loved anyone upgrading going new gaming laptop also looks premium scream gaming go,5.0 out of 5 stars,Yes,"Reviewed in the United States on January 6, 2022","{'neg': 0.016, 'neu': 0.88, 'pos': 0.104, 'compound': 0.9921}",0.9921,positive
R.A.O,golden standard,weighing options getting full desktop pc getting razer laptop even considerations work tech field sr engineer drew apple like quality well razer confirm everything say truepros1 packaging mostly still tell pc discreet indicator highend gaming pc2 internal packing well protected compartmentalized everything packed highest level care3 device peripherals flawless appearance4 performance actually good enough wont get gaming desktop couple years instead ill get usbc dock needed egpu razer fact speculate egpu setup process would amazing combo since heat buildup igpu would offloaded external device5 little bloatware6 fps games like cyberpunk2077 everything set ultra pyscho including raytracing produces average 3045 frames per second using native resolution esports world isnt viable esports titles arent competitively played ultra setting resolution 1080 adds 30 frames turn set raytracing medium balanced dls 100fps games like cyberpunk 2077 however prefer play ultraplush eyegasmic settings rpgfps 30 fps playable especially build gsynchonestly razer compelled desktop gaming nerd buy tiny gorgeous gaming laptop applaud razer managed accomplish brought laptop market,3.0 out of 5 stars,Yes,"Reviewed in the United States on November 27, 2021","{'neg': 0.026, 'neu': 0.864, 'pos': 0.109, 'compound': 0.9745}",0.9745,positive
Tanmay,powerful size,great laptop things small negative background returned asus g15 lack camera liking screen build quality machine happy keeping since things even though camera good quality real negative could say speaker quality bad battery life 56hrs good type laptop good laptops get used plugging performance crazy good 14 inch laptop got 3070 version think sweet spot since 3080 still runs wattage reviews gains max 10 performance 600 dollars doesnt make much sense buy playing games full resolution highest settings machine amazing really like keyboard trackpad overall ideal laptop small well built powerful docked one star poor speakers poor webcam machines smaller bezels one 2 things way better could easily done better 2 ways rest laptop good take problems still love laptop,5.0 out of 5 stars,Yes,"Reviewed in the United States on July 7, 2021","{'neg': 0.097, 'neu': 0.701, 'pos': 0.201, 'compound': 0.9891}",0.9891,positive
Brandon Relaz,brand new razer blade 14 broken mouse pad,received gem turned realized track pad super jumpy unable control tried downloading drivers updating windows synapse resetting whole computer still unable use track pad also called support told everything already tried… plugged mouse able game fine problem really impressed small monster great size wish ryzen processor 15in variant thing 14in lacking opinion sd slot extra ssd spot comes 15in bladethis 14in replacement 2019 razer blade pro 17 honestly feel 15in advance model sweet spot honestly would probably kept 14in one two wishes fan dongles external ssd like keep travel set clean possiblei’m disappointed razer would advise anyone get 12 year plan 300 it’s crazy brand new computer costing 2300 would problem box last razer laptop 2019 2500 insurance battery died 2 years love company disappointed purchases,5.0 out of 5 stars,Yes,"Reviewed in the United States on July 20, 2021","{'neg': 0.084, 'neu': 0.731, 'pos': 0.185, 'compound': 0.9859}",0.9859,positive
Jeket,four stars,truly nice product overpriced general example asus rog g14 g15 usually internals ie rtx 30s either amd intel cpus yet lower prices could sum branding since razer really popular gamer elites really dislike able upgrade ram due ram integrated onto mb higher speeds also lack second slot memory capping 2 terabyte could adventurous try upgrading 4 terabyte nvme ssd usually double sided leading bends still nice product get done need music production,5.0 out of 5 stars,Yes,"Reviewed in the United States on July 6, 2021","{'neg': 0.066, 'neu': 0.831, 'pos': 0.102, 'compound': 0.6369}",0.6369,positive
Herolist,perfect love,media could loaded ordered laptop shipped overseas arrived 3 days earlier without prime also came excellent packaging reassured parcel arrived safe soundvery simple discrete design even turn green logo back prefersuper portable physically speaking almost compact older macbook pro retina 2015great keyboard trackpad fit right mediumsize hands p excellent battery life got easily 3 hours running cad programs 6 hours ms office browsingim engineer profession past week ive using autocad multisim matlab visual stayed cool quiet whole timelastiy played online steam games casually l4d2 borderlands 2 rocket league quite good considering laptop highspec configuration note hardcore gamer cant really give useful opinion area good standardsoverall razer well done got 100 satisfied customer ps since screen comes higher resolution capabilities default comes small font size tiny letters 3 though font size adjusted display settings complains like fyi,4.0 out of 5 stars,Yes,"Reviewed in the United States on July 1, 2021","{'neg': 0.008, 'neu': 0.794, 'pos': 0.198, 'compound': 0.9926}",0.9926,positive
Herolist,great machine flaws,pros portable hold one hand open screen without pry open two hands great gaming keyboard practically softest keyboards ive ever touched laptopcons battery life abysmal think get 2 hours bit light usage dont like power button use delete button often sometimes click power button accident speakers arent great cant even use zoom calls moderate setting sounds bad speaker buffering noises volume half webcam quality great especially device thats supposed high endoverall think reason bought portable fitted high end gpu small device speakers webcam battery lower end spectrumtheres lots cons ive found owning quite time think werent portability device gpu theres reason get especially price range dont think would end daily driver road laptops portable 14 better speakerswebcams would admit would put consideration switching terms daily driver,4.0 out of 5 stars,Yes,"Reviewed in the United States on March 9, 2022","{'neg': 0.076, 'neu': 0.881, 'pos': 0.042, 'compound': -0.8602}",-0.8602,negative
J. Francois,1 year later serious problems,thermals got bad orginal paste job bad eventually heat solid 100c cpu hard throttling caused connection gpu fail theres nothing imagine wasnt attempted fix hardware problem software problem given new laptop thermal problems repasted kryonaught photos included game performance would recommend however rc300370 battery bloated cant find replacement ie cant use touchpad bottom panel bending fire hazard update conversation support goes also open suggestions finding replacement batteryoriginal reviewpros1 keyboard razer laptops still keyboard type fastest also perkey rgb2 steady 100 watts razer promissed 100 delivers game gpu pulls steady100 watts throughout gameplay comparison g14 promissed 80 watts even carefully manage cpu wattage g14 usually delivers around 70 watts3 even 100 watts gpu temps never exceed 65 c4 battery life delivers updated graphics drivers keyboard light screen lowest brightness power saving mode get 16 hrs video streaming youtube make sacrifices manage power draw well could day battery5 overall gameplay really really good high 1 lows6 screen touchpad low latency makes scrolling around heavenly smooth experience7 cpu 8 cores hit nearly 46 ghz boost razer synapse allows run nearly 80 watts8 build quality amazing laptop feels solid hands flex whatsoever9 breath 4 lbscons1 come gan charger razer sending influencers product2 cpu cooled well ive seen hit 100 c often hovers around 90 game3 ram awfully low bandwidth seems work well games maybe issue ram benchmarks pretty disappointing especiallly considered replacedoveralla gaming laptop work hobbies gaming seamless transitions desk onthego cons listed relatively small issues face pros cover important things give 55,4.0 out of 5 stars,Yes,"Reviewed in the United States on November 28, 2021","{'neg': 0.056, 'neu': 0.873, 'pos': 0.071, 'compound': 0.5419}",0.5419,positive
PAOLO,king 14,heat get hot cpu gpu normal temps exterior top keyboard gets really hotgaming plugged games functioning well ff14 world warcraft older games ran farbattery minimum 4 hrs regular work use communicators chrome least 12 tabs open 2 instances running messenger vlc video playback 6hrs least vlc youtube onlykeyboard personal preference like silent clicky enough mushy compared regular mechanical keyboardsusb c charging 65w charger takes 125 hrs charge still havent tested using 100w charger expect around hour well laptop prompt needs powerbrightness really bright makes wonder better outdoors thnk 325 nits something xps boasts around 500 nits might great outdoorsoverall really happy choosing g14 wanted g14 felt cheap corny saw person personal preference may really make sense others,4.0 out of 5 stars,Yes,"Reviewed in the United States on January 6, 2022","{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.9854}",0.9854,positive
